order_id,line_number,product_id,quantity,unit_price,discount_amount,tax_amount,order_date,customer_id,channel_id,order_status,product_name,category_id,category_name
100001,1,137,2,97309.59,13623.34,38009.13,2025-08-24 05:25:58,228,1,delivered,Norte Mochilas 137,10,Mochilas
100001,2,148,2,69290.55,2771.62,28519.99,2025-08-24 05:25:58,228,1,delivered,Norte Mochilas 148,10,Mochilas
100001,3,53,3,55916.19,8387.43,33465.84,2025-08-24 05:25:58,228,1,delivered,Estilo Remeras 053,6,Remeras
100001,4,77,3,35690.74,12848.67,19786.95,2025-08-24 05:25:58,228,1,delivered,Río Gorras 077,11,Gorras
100002,1,140,1,42260.66,5071.28,7809.77,2025-07-22 13:53:32,101,3,delivered,Sur Botas 140,9,Botas
100002,2,45,2,5514.12,220.56,2269.61,2025-07-22 13:53:32,101,3,delivered,Andina Botas 045,9,Botas
100002,3,49,3,146549.87,30775.47,85863.57,2025-07-22 13:53:32,101,3,delivered,Sur Zapatillas 049,8,Zapatillas
100002,4,93,2,149511.56,5980.46,61538.96,2025-07-22 13:53:32,101,3,delivered,Lago Mochilas 093,10,Mochilas
100003,1,148,2,69290.55,16629.73,25609.79,2025-07-25 22:00:42,99,3,paid,Norte Mochilas 148,10,Mochilas
100004,1,149,2,62730.25,15055.26,23185.1,2025-08-30 13:25:10,9,1,shipped,Andina Mochilas 149,10,Mochilas
100005,1,10,3,148480.89,44544.27,84188.66,2025-07-08 10:31:47,108,3,canceled,Estilo Gorras 010,11,Gorras
100005,2,78,3,126062.08,37818.62,71477.2,2025-07-08 10:31:47,108,3,canceled,Estilo Gorras 078,11,Gorras
100006,1,125,1,109754.35,2195.09,22587.45,2025-08-19 00:59:38,14,3,delivered,Andina Wearables 125,12,Wearables
100006,2,130,1,56977.18,2848.86,11366.95,2025-08-19 00:59:38,14,3,delivered,Estilo Camperas 130,5,Camperas
100006,3,65,1,62949.67,6294.97,11897.49,2025-08-19 00:59:38,14,3,delivered,Cordillera Gorras 065,11,Gorras
100007,1,54,3,132170.57,47581.41,73275.36,2025-07-27 23:12:48,198,4,paid,Pampa Camperas 054,5,Camperas
100007,2,89,1,31366.78,3764.01,5796.58,2025-07-27 23:12:48,198,4,paid,Río Wearables 089,12,Wearables
100008,1,100,2,27000.42,2700.04,10773.17,2025-08-08 08:30:26,78,4,delivered,Andina Remeras 100,6,Remeras
100008,2,38,3,102110.27,21443.16,59826.41,2025-08-08 08:30:26,78,4,delivered,Norte Botas 038,9,Botas
100008,3,4,2,54336.32,7607.08,21223.77,2025-08-08 08:30:26,78,4,delivered,Lago Pantalones 004,7,Pantalones
